district_id,neighborhood_canon,green_area_km2,area_km2,green_share,green_share_label
11001001,,0.002295,,,average
11001001,gesundbrunnen,0.0957279,6.123739019057953,0.015632263181380047,below average
11001001,hansaviertel,0.076529,0.5280376314437806,0.1449309584067929,above average
11001001,mitte,0.9327947,10.67358195900944,0.08739284558663453,above average
11001001,moabit,0.7023358,7.705435414749611,0.09114810029496853,above average
11001001,tiergarten,1.9976945000000002,5.177866102799861,0.38581424477542475,above average
11001001,wedding,2.3546861,9.240705924961098,0.25481669031794374,above average
11002002,friedrichshain,0.812918,9.944489731513457,0.08174557186417665,average
11002002,kreuzberg,0.9694345,10.37203888299929,0.0934661459463858,above average
11003003,blankenburg,0.1883345,6.0584268389591225,0.031086370275019627,average
11003003,blankenfelde,0.7250175,13.26406875302312,0.054660264018516605,average
11003003,buch,0.6761604000000001,18.233197926592528,0.03708402676931632,average
11003003,franzoesischbuchholz,0.4496068,12.025817142830762,0.037386798307342865,average
11003003,heinersdorf,0.10033600000000001,3.8516538821359707,0.02605010810170662,average
11003003,karow,0.29862299999999997,6.605062258850976,0.04521123167307567,average
11003003,niederschoenhausen,0.7764627,6.482204022086769,0.11978374906966271,above average
11003003,pankow,0.179158,5.652475712639588,0.03169549222465159,average
11003003,prenzlauerberg,1.0409427,11.003472545096235,0.09460129025031307,above average
11003003,rosenthal,0.001264,4.918179229905089,0.0002570056805401117,below average
11003003,stadtrandsiedlungmalchow,0.9637787999999999,5.7043201865882365,0.168955943648815,above average
11003003,weissensee,0.483029,7.931332846673595,0.060901365424675453,average
11003003,wilhelmsruh,0.015884000000000002,1.35968104941859,0.011682151491919463,below average
11004004,charlottenburg,0.8279207000000001,10.591549804220852,0.07816804106138124,average
11004004,charlottenburgnord,1.3305689,6.1964797223828,0.2147298078284265,above average
11004004,grunewald,0.115074,22.34392373002069,0.005150124991045762,below average
11004004,halensee,0.013593,1.2662548439060846,0.010734805924271089,below average
11004004,schmargendorf,0.08971599999999999,3.586365622933888,0.02501585433071553,average
11004004,westend,0.6531127,13.520978820991873,0.04830365527871516,average
11004004,wilmersdorf,0.2828855,7.157516942666392,0.03952285440132211,average
11005005,falkenhagenerfeld,0.834337,6.873154807626353,0.12139068933442787,above average
11005005,gatow,0.75558,10.108140904927145,0.07474965051503167,average
11005005,hakenfelde,0.436193,20.37203721797131,0.021411358880456484,below average
11005005,haselhorst,0.333841,4.520337340801544,0.07385311644480133,average
11005005,kladow,0.851028,14.772671677993586,0.05760826603002024,average
11005005,siemensstadt,0.200891,5.661235124078463,0.03548536593111403,average
11005005,spandau,0.44579,8.228773921936753,0.054174534897791594,average
11005005,staaken,1.1659979999999999,10.882774394803457,0.10714161276344807,above average
11005005,wilhelmstadt,0.86647,10.416860111482526,0.08317957529686784,average
11006006,dahlem,0.3528674,8.390951942263928,0.042053321533479585,average
11006006,lankwitz,0.282011,6.986413908481898,0.04036563016365561,average
11006006,lichterfelde,0.9131369,18.22235385325192,0.050110809358311505,average
11006006,nikolassee,0.3161197,19.613362721708892,0.016117567623939646,below average
11006006,schlachtensee,0.1715654,,,average
11006006,steglitz,0.4142899,6.782406961899834,0.061083019984980724,average
11006006,wannsee,1.610606,23.725337505993917,0.06788548317144488,average
11006006,zehlendorf,1.3732449,18.793177567998782,0.07307145877972097,average
11007007,friedenau,0.021463,1.6542817059696562,0.012974211056404976,below average
11007007,lichtenrade,0.12653899999999998,10.046521739583023,0.01259530445262859,below average
11007007,mariendorf,0.463675,9.372702666666918,0.04947078942864729,average
11007007,marienfelde,0.7650020000000001,9.138266896025717,0.08371412311591639,average
11007007,schoeneberg,0.71366,10.637419808311437,0.06708957744079905,average
11007007,tempelhof,2.9800572,12.24665269109772,0.24333646712838108,above average
11008008,britz,1.455354,12.386424227892693,0.117495894959154,above average
11008008,buckow,0.19478900000000002,6.345583079714336,0.03069678507916864,average
11008008,gropiusstadt,0.292003,2.6678356578367026,0.10945314384049418,above average
11008008,neukoelln,0.772591,11.696334730246743,0.06605411163568005,average
11008008,rudow,0.9646779999999999,11.81173251569159,0.08167116879072985,average
11009009,adlershof,0.062275300000000006,6.124648871094604,0.010167978819799688,below average
11009009,altglienicke,0.7417368999999999,7.872517373067322,0.09421851548242458,above average
11009009,alttreptow,0.8385293,2.3127112716935683,0.3625741398259178,above average
11009009,baumschulenweg,0.16557619999999998,4.821521366713839,0.03434106942739741,average
11009009,bohnsdorf,0.14574030000000002,6.520682644538246,0.022350466652762618,below average
11009009,friedrichshagen,0.28002,14.02539388721012,0.01996521468501164,below average
11009009,gruenau,0.0473894,9.136677953262085,0.005186721064528763,below average
11009009,johannisthal,0.7217528999999999,6.518400250140289,0.11072546519131997,above average
11009009,koepenick,0.4659165,34.84951924044306,0.013369380988742633,below average
11009009,mueggelheim,0.042197,22.192649868441674,0.0019013952930427137,below average
11009009,niederschoeneweide,0.0599627,3.4987482479354286,0.017138329411206795,below average
11009009,oberschoeneweide,0.9583651999999999,8.191946560737186,0.11698870261108704,above average
11009009,plaenterwald,0.078041,3.0136269986316435,0.025896038240775986,average
11009009,rahnsdorf,0.10990899999999999,21.42969023505735,0.00512881888606104,below average
11009009,schmoeckwitz,0.012389,17.118946323284188,0.0007237010833516785,below average
11010010,biesdorf,1.0966665,12.43518950475301,0.08819057398207154,above average
11010010,hellersdorf,1.443061,8.142247621380568,0.17723128392837065,above average
11010010,kaulsdorf,0.4766475,8.683232887183278,0.05489286147139351,average
11010010,mahlsdorf,0.1557907,12.981431999082199,0.012001041180280772,below average
11010010,marzahn,3.785997,19.54037458455859,0.19375252933952514,above average
11011011,althohenschoenhausen,0.243478,9.347575274171213,0.026047182596407342,average
11011011,falkenberg,0.610613,3.0513182051659045,0.20011449443923207,above average
11011011,fennpfuhl,0.19216899999999998,2.121429815263738,0.09058466069315113,above average
11011011,friedrichsfelde,1.964698,5.83402786404105,0.3367652753442824,above average
11011011,karlshorst,0.436835,6.545313484946774,0.06674011886591133,average
11011011,lichtenberg,0.779413,7.198748795543168,0.1082706206504308,above average
11011011,malchow,0.45050500000000004,1.51710288846972,0.29695085509620117,above average
11011011,neuhohenschoenhausen,0.9103289999999999,5.15081925154831,0.17673479800836722,above average
11011011,rummelsburg,0.097745,4.405210367525913,0.02218849767551425,below average
11011011,wartenberg,1.067652,6.919598086684389,0.15429393248352358,above average
11012012,borsigwalde,0.0214699,2.042648003892431,0.010510817311199662,below average
11012012,frohnau,0.2695093,7.836173064159477,0.03439297445237168,average
11012012,heiligensee,0.47867529999999997,10.684524455710527,0.04480080531278711,average
11012012,hermsdorf,0.7876924999999999,6.056405875233487,0.1300593976406234,above average
11012012,konradshoehetegelort,0.0157873,,,average
11012012,luebars,0.7184918,5.008438663878612,0.14345624419479044,above average
11012012,maerkischesviertel,0.0853936,3.2444413329620625,0.026319970446819146,average
11012012,reinickendorf,0.4281194,10.47576025437641,0.0408676210226505,average
11012012,tegel,0.9152096999999999,33.620147705009,0.027222060653339857,average
11012012,waidmannslust,0.3686243,2.231458590816612,0.16519432693801428,above average
11012012,wittenau,0.3188681,5.893308360115625,0.0541068073338935,average
